type_hosp,codeGeo,Dépt,DéptNom,GDE REG,Nb RHA,Nb SSRHA,Nb séjours,Nb journées,Année
HP,60370,60,OISE,HDF,1,1,1,1,2022
HP,60400,60,OISE,HDF,6,3,6,22,2020
HC,60400,60,OISE,HDF,30,5,5,173,2021
HP,60400,60,OISE,HDF,33,18,33,79,2021
HP,60400,60,OISE,HDF,1,1,1,1,2022
HP,60410,60,OISE,HDF,9,3,9,32,2020
HC,60420,60,OISE,HDF,13,1,1,85,2020
HP,60420,60,OISE,HDF,49,10,49,212,2020
HC,60420,60,OISE,HDF,1,1,1,4,2021
HP,60420,60,OISE,HDF,37,7,37,132,2021
HP,60420,60,OISE,HDF,15,5,15,53,2022
HP,60430,60,OISE,HDF,9,3,9,31,2021
HP,60430,60,OISE,HDF,2,2,2,2,2022
HP,60440,60,OISE,HDF,1,1,1,4,2020
HP,60440,60,OISE,HDF,11,4,11,41,2022
HC,60460,60,OISE,HDF,5,3,3,22,2020
HP,60460,60,OISE,HDF,2,2,2,6,2020
HP,60460,60,OISE,HDF,4,4,4,8,2022
HC,60490,60,OISE,HDF,11,2,2,71,2020
HP,60490,60,OISE,HDF,12,4,12,49,2020
HP,60490,60,OISE,HDF,9,4,9,31,2021
HP,60490,60,OISE,HDF,12,6,12,35,2022
HP,60500,60,OISE,HDF,20,5,20,54,2020
HP,60500,60,OISE,HDF,70,13,70,262,2021
HP,60500,60,OISE,HDF,117,16,117,491,2022
HC,60510,60,OISE,HDF,3,1,1,16,2020
HP,60510,60,OISE,HDF,13,5,13,49,2020
HC,60510,60,OISE,HDF,9,2,2,51,2021
HP,60510,60,OISE,HDF,1,1,1,1,2021
HP,60510,60,OISE,HDF,2,2,2,2,2022
HC,60520,60,OISE,HDF,8,1,1,49,2020
HP,60520,60,OISE,HDF,74,8,74,272,2020
HP,60520,60,OISE,HDF,106,12,106,381,2021
HP,60520,60,OISE,HDF,111,14,111,454,2022
HC,60530,60,OISE,HDF,4,4,4,16,2020
HP,60530,60,OISE,HDF,9,6,9,12,2020
HP,60530,60,OISE,HDF,17,7,17,41,2021
HC,60530,60,OISE,HDF,7,1,1,39,2022
HP,60530,60,OISE,HDF,9,8,9,21,2022
HP,60540,60,OISE,HDF,3,3,3,3,2020
HC,60540,60,OISE,HDF,3,1,1,16,2022
HP,60540,60,OISE,HDF,17,3,17,46,2022
HP,60550,60,OISE,HDF,42,3,42,187,2021
HP,60550,60,OISE,HDF,33,5,33,133,2022
HP,60560,60,OISE,HDF,1,1,1,1,2021
HP,60560,60,OISE,HDF,15,10,15,39,2022
HP,60570,60,OISE,HDF,2,2,2,2,2021
HP,60570,60,OISE,HDF,9,2,9,31,2022
HP,60580,60,OISE,HDF,11,9,11,11,2020
HP,60580,60,OISE,HDF,7,5,7,21,2021
HP,60580,60,OISE,HDF,4,3,4,12,2022
HP,60600,60,OISE,HDF,6,5,6,18,2020
HC,60600,60,OISE,HDF,15,3,3,81,2021
HP,60600,60,OISE,HDF,39,12,39,144,2021
HC,60600,60,OISE,HDF,14,4,4,76,2022
HP,60600,60,OISE,HDF,73,12,73,290,2022
HP,60610,60,OISE,HDF,2,1,2,9,2020
HP,60610,60,OISE,HDF,4,3,4,15,2021
HP,60610,60,OISE,HDF,1,1,1,1,2022
HP,60620,60,OISE,HDF,1,1,1,1,2021
HP,60640,60,OISE,HDF,1,1,1,1,2020
HC,60640,60,OISE,HDF,9,1,1,56,2021
HP,60640,60,OISE,HDF,3,3,3,3,2021
HP,60640,60,OISE,HDF,2,2,2,2,2022
HC,60650,60,OISE,HDF,3,1,1,16,2022
HP,60650,60,OISE,HDF,9,2,9,9,2022
HC,60660,60,OISE,HDF,3,2,2,15,2020
HP,60660,60,OISE,HDF,39,10,39,125,2020
HC,60660,60,OISE,HDF,12,3,3,68,2021
HP,60660,60,OISE,HDF,46,26,46,90,2021
HC,60660,60,OISE,HDF,14,1,1,88,2022
HP,60660,60,OISE,HDF,66,30,66,216,2022
HP,60680,60,OISE,HDF,16,7,16,17,2020
HP,60680,60,OISE,HDF,6,5,6,14,2021
HP,60680,60,OISE,HDF,9,5,9,9,2022
HP,60690,60,OISE,HDF,1,1,1,5,2020
HP,60690,60,OISE,HDF,5,3,5,13,2021
HP,60690,60,OISE,HDF,2,2,2,2,2022
HC,60700,60,OISE,HDF,18,5,5,87,2020
HP,60700,60,OISE,HDF,38,23,38,95,2020
HC,60700,60,OISE,HDF,11,3,3,62,2021
HP,60700,60,OISE,HDF,81,29,81,310,2021
HC,60700,60,OISE,HDF,27,6,6,158,2022
HP,60700,60,OISE,HDF,84,39,84,247,2022
HP,60710,60,OISE,HDF,3,2,3,15,2020
HC,60730,60,OISE,HDF,5,3,3,17,2020
HP,60730,60,OISE,HDF,32,4,32,138,2020
HC,60730,60,OISE,HDF,11,4,4,51,2021
HP,60730,60,OISE,HDF,32,7,32,132,2021
HC,60730,60,OISE,HDF,1,1,1,2,2022
HP,60730,60,OISE,HDF,9,7,9,19,2022
HP,60740,60,OISE,HDF,46,5,46,198,2020
HP,60740,60,OISE,HDF,63,7,63,283,2021
HP,60740,60,OISE,HDF,81,7,81,315,2022
HP,60800,60,OISE,HDF,15,7,15,43,2020
HC,60800,60,OISE,HDF,4,2,2,20,2021
HP,60800,60,OISE,HDF,12,5,12,45,2021
HP,60800,60,OISE,HDF,23,14,23,69,2022
HP,60810,60,OISE,HDF,4,4,4,4,2021
HC,60810,60,OISE,HDF,17,3,3,97,2022
HP,60810,60,OISE,HDF,18,9,18,69,2022
HP,60820,60,OISE,HDF,1,1,1,1,2020
HP,60820,60,OISE,HDF,23,7,23,96,2021
HP,60820,60,OISE,HDF,45,5,45,200,2022
HP,60870,60,OISE,HDF,11,6,11,35,2020
HP,60870,60,OISE,HDF,15,9,15,31,2021
HC,60870,60,OISE,HDF,2,1,1,5,2022
HP,60870,60,OISE,HDF,49,25,49,127,2022
HP,60880,60,OISE,HDF,3,3,3,3,2020
HP,60880,60,OISE,HDF,2,2,2,2,2021
HP,60880,60,OISE,HDF,3,3,3,3,2022
HP,60940,60,OISE,HDF,2,2,2,2,2020
HP,60940,60,OISE,HDF,7,6,7,15,2021
HP,60940,60,OISE,HDF,1,1,1,1,2022
HP,60950,60,OISE,HDF,1,1,1,1,2021
HP,61000,61,ORNE,NORMANDIE,2,2,2,2,2020
HP,62000,62,PAS DE CALAIS,HDF,1,1,1,1,2021
HP,62220,62,PAS DE CALAIS,HDF,1,1,1,1,2022
HC,62500,62,PAS DE CALAIS,HDF,4,1,1,21,2020
HP,62500,62,PAS DE CALAIS,HDF,6,2,6,24,2020
HP,62500,62,PAS DE CALAIS,HDF,4,1,4,20,2021
HP,62640,62,PAS DE CALAIS,HDF,1,1,1,1,2020
HP,62640,62,PAS DE CALAIS,HDF,1,1,1,1,2021
HC,62730,62,PAS DE CALAIS,HDF,1,1,1,5,2022
HC,62810,62,PAS DE CALAIS,HDF,6,4,4,14,2020
HP,62810,62,PAS DE CALAIS,HDF,1,1,1,1,2020
HC,62810,62,PAS DE CALAIS,HDF,12,6,6,36,2021
HP,67000,67,BAS-RHIN,GE,4,2,4,16,2022
HP,68100,68,HAUT RHIN,GE,4,2,4,4,2020
HC,69800,69,RHONE,ARA,1,1,1,3,2021
HP,69800,69,RHONE,ARA,2,2,2,4,2021
HC,75003,75,PARIS,IDF,4,1,1,24,2021
HC,75004,75,PARIS,IDF,2,1,1,11,2022
HP,75004,75,PARIS,IDF,14,3,14,60,2022
HP,75008,75,PARIS,IDF,5,2,5,17,2021
HP,75008,75,PARIS,IDF,3,1,3,15,2022
HC,75012,75,PARIS,IDF,4,2,2,19,2021
HC,75012,75,PARIS,IDF,4,2,2,17,2022
HC,75013,75,PARIS,IDF,35,7,7,217,2020
HP,75013,75,PARIS,IDF,4,2,4,16,2022
HP,75015,75,PARIS,IDF,8,3,8,30,2020
HP,75015,75,PARIS,IDF,1,1,1,1,2022
HP,75016,75,PARIS,IDF,1,1,1,1,2021
HC,75017,75,PARIS,IDF,4,2,2,21,2022
HC,75018,75,PARIS,IDF,3,1,1,11,2021
HP,75018,75,PARIS,IDF,40,4,40,174,2021
HP,75018,75,PARIS,IDF,34,3,34,146,2022
HC,75019,75,PARIS,IDF,16,2,2,102,2021
HP,75019,75,PARIS,IDF,11,3,11,42,2021
HC,75019,75,PARIS,IDF,3,1,1,18,2022
HP,75019,75,PARIS,IDF,9,3,9,31,2022
HC,75020,75,PARIS,IDF,23,6,6,129,2021
HP,75020,75,PARIS,IDF,8,4,8,23,2021
HP,76110,76,SEINE MARITIME,NORMANDIE,1,1,1,1,2021
HC,76210,76,SEINE MARITIME,NORMANDIE,5,1,1,27,2021
HP,76210,76,SEINE MARITIME,NORMANDIE,1,1,1,1,2021
HP,76290,76,SEINE MARITIME,NORMANDIE,2,2,2,2,2021
HC,76290,76,SEINE MARITIME,NORMANDIE,26,5,5,157,2022
HC,76480,76,SEINE MARITIME,NORMANDIE,7,3,3,28,2021
HP,76480,76,SEINE MARITIME,NORMANDIE,1,1,1,1,2021
HC,76480,76,SEINE MARITIME,NORMANDIE,8,1,1,46,2022
HP,76490,76,SEINE MARITIME,NORMANDIE,4,2,4,16,2022
HP,76530,76,SEINE MARITIME,NORMANDIE,1,1,1,1,2021
HC,76530,76,SEINE MARITIME,NORMANDIE,10,1,1,64,2022
HP,76590,76,SEINE MARITIME,NORMANDIE,1,1,1,1,2020
HC,76600,76,SEINE MARITIME,NORMANDIE,14,2,2,61,2020
HP,76600,76,SEINE MARITIME,NORMANDIE,2,2,2,2,2020
HP,76600,76,SEINE MARITIME,NORMANDIE,1,1,1,1,2021
HC,76600,76,SEINE MARITIME,NORMANDIE,3,1,1,16,2022
HP,76600,76,SEINE MARITIME,NORMANDIE,1,1,1,1,2022
HP,76690,76,SEINE MARITIME,NORMANDIE,1,1,1,1,2021
HC,76690,76,SEINE MARITIME,NORMANDIE,32,17,17,87,2022
HC,76750,76,SEINE MARITIME,NORMANDIE,5,2,2,23,2020
HC,76930,76,SEINE MARITIME,NORMANDIE,2,1,1,11,2020
HC,77100,77,SEINE ET MARNE,IDF,6,1,1,36,2022
HP,77100,77,SEINE ET MARNE,IDF,1,1,1,1,2022
HP,77127,77,SEINE ET MARNE,IDF,4,2,4,16,2021
HP,77140,77,SEINE ET MARNE,IDF,2,2,2,2,2021
HC,77140,77,SEINE ET MARNE,IDF,7,2,2,35,2022
HP,77140,77,SEINE ET MARNE,IDF,1,1,1,1,2022
HP,77178,77,SEINE ET MARNE,IDF,1,1,1,1,2022
HC,77230,77,SEINE ET MARNE,IDF,27,4,4,153,2020
HP,77230,77,SEINE ET MARNE,IDF,7,3,7,24,2020
HP,77230,77,SEINE ET MARNE,IDF,2,1,2,10,2021
HP,77230,77,SEINE ET MARNE,IDF,18,3,18,81,2022
HP,77280,77,SEINE ET MARNE,IDF,9,2,9,32,2021
HP,77280,77,SEINE ET MARNE,IDF,5,2,5,21,2022
HP,77360,77,SEINE ET MARNE,IDF,6,1,6,22,2020
HP,78000,78,YVELINES,IDF,1,1,1,1,2020
HP,78000,78,YVELINES,IDF,1,1,1,1,2022
HP,78114,78,YVELINES,IDF,1,1,1,1,2020
HP,78130,78,YVELINES,IDF,1,1,1,1,2021
HP,78130,78,YVELINES,IDF,1,1,1,1,2022
HC,78250,78,YVELINES,IDF,17,4,4,92,2021
HC,78260,78,YVELINES,IDF,11,1,1,72,2020
HP,78260,78,YVELINES,IDF,8,3,8,29,2020
HP,78260,78,YVELINES,IDF,5,3,5,16,2021
HP,78260,78,YVELINES,IDF,6,1,6,28,2022
HP,78270,78,YVELINES,IDF,1,1,1,1,2020
HP,78270,78,YVELINES,IDF,1,1,1,1,2022
HP,78300,78,YVELINES,IDF,1,1,1,1,2022
HP,78310,78,YVELINES,IDF,1,1,1,1,2020
HP,78310,78,YVELINES,IDF,1,1,1,1,2022
HP,78340,78,YVELINES,IDF,5,2,5,20,2022
HP,78360,78,YVELINES,IDF,2,2,2,2,2020
HP,78360,78,YVELINES,IDF,1,1,1,1,2022
HP,78390,78,YVELINES,IDF,1,1,1,1,2021
HP,78420,78,YVELINES,IDF,4,4,4,4,2020
HP,78520,78,YVELINES,IDF,1,1,1,1,2021
HP,78530,78,YVELINES,IDF,1,1,1,1,2021
HP,78570,78,YVELINES,IDF,1,1,1,1,2022
HP,78700,78,YVELINES,IDF,13,4,13,49,2020
HP,78700,78,YVELINES,IDF,31,8,31,110,2021
HP,78700,78,YVELINES,IDF,39,2,39,125,2022
HC,78800,78,YVELINES,IDF,14,3,3,77,2020
HP,78800,78,YVELINES,IDF,1,1,1,1,2021
HC,78955,78,YVELINES,IDF,11,2,2,57,2020
HP,78955,78,YVELINES,IDF,1,1,1,1,2020
HP,78955,78,YVELINES,IDF,1,1,1,1,2021
HP,78960,78,YVELINES,IDF,1,1,1,1,2022
HP,80370,80,SOMME,HDF,1,1,1,1,2022
HC,80400,80,SOMME,HDF,4,1,1,21,2020
HP,80400,80,SOMME,HDF,1,1,1,1,2020
HP,80400,80,SOMME,HDF,1,1,1,1,2021
HC,80400,80,SOMME,HDF,3,1,1,15,2022
HC,80440,80,SOMME,HDF,18,4,4,100,2020
HP,80440,80,SOMME,HDF,3,3,3,3,2020
HC,80440,80,SOMME,HDF,5,1,1,27,2021
HP,80440,80,SOMME,HDF,3,3,3,3,2021
HP,80440,80,SOMME,HDF,15,6,15,45,2022
HP,80500,80,SOMME,HDF,7,3,7,24,2021
HP,80500,80,SOMME,HDF,6,4,6,17,2022
HP,80630,80,SOMME,HDF,1,1,1,1,2020
HC,80680,80,SOMME,HDF,13,2,2,69,2021
HP,80680,80,SOMME,HDF,2,2,2,2,2021
HC,80680,80,SOMME,HDF,27,4,4,154,2022
HP,80680,80,SOMME,HDF,1,1,1,1,2022
HP,80710,80,SOMME,HDF,6,3,6,7,2022
HC,80800,80,SOMME,HDF,13,6,6,63,2020
HC,80800,80,SOMME,HDF,11,3,3,60,2021
HP,80800,80,SOMME,HDF,1,1,1,1,2021
HP,87500,87,HAUTE VIENNE,NLLE AQ,1,1,1,1,2021
HP,89100,89,YONNE,BFC,1,1,1,1,2020
HC,89100,89,YONNE,BFC,8,1,1,49,2021
HP,89100,89,YONNE,BFC,3,2,3,10,2021
HP,89100,89,YONNE,BFC,1,1,1,1,2022
HP,91200,91,ESSONNE,IDF,1,1,1,1,2022
HC,91220,91,ESSONNE,IDF,13,2,2,81,2022
HC,91260,91,ESSONNE,IDF,7,2,2,35,2022
HP,91270,91,ESSONNE,IDF,1,1,1,1,2021
HP,91790,91,ESSONNE,IDF,5,2,5,19,2022
HP,92000,92,HAUTS DE SEINE,IDF,2,2,2,2,2021
HC,92000,92,HAUTS DE SEINE,IDF,4,1,1,22,2022
HC,92160,92,HAUTS DE SEINE,IDF,6,2,2,30,2021
HC,92200,92,HAUTS DE SEINE,IDF,4,2,2,17,2020
HC,92240,92,HAUTS DE SEINE,IDF,6,3,3,29,2022
HP,92250,92,HAUTS DE SEINE,IDF,4,2,4,14,2021
HP,92500,92,HAUTS DE SEINE,IDF,1,1,1,1,2021
HC,92600,92,HAUTS DE SEINE,IDF,11,2,2,56,2021
HC,92600,92,HAUTS DE SEINE,IDF,12,3,3,64,2022
HP,92600,92,HAUTS DE SEINE,IDF,1,1,1,1,2022
HC,92700,92,HAUTS DE SEINE,IDF,1,1,1,6,2020
HP,92700,92,HAUTS DE SEINE,IDF,1,1,1,1,2020
HC,92700,92,HAUTS DE SEINE,IDF,13,3,3,76,2021
HP,92700,92,HAUTS DE SEINE,IDF,1,1,1,1,2022
HP,92800,92,HAUTS DE SEINE,IDF,5,2,5,16,2021
HP,92800,92,HAUTS DE SEINE,IDF,1,1,1,1,2022
HC,93000,93,SEINE SAINT DENIS,IDF,1,1,1,1,2020
HP,93000,93,SEINE SAINT DENIS,IDF,8,3,8,33,2020
HP,93000,93,SEINE SAINT DENIS,IDF,6,2,6,25,2021
